durofel,color,max_brix,Variety
78.99,3.021,20.5,3
75.83,2.096,19.4,3
77.68,2.889,21.2,13
74.09,2.947,19.4,13
75.35,2.887,19,5
78.42,2.894,21.9,13
74.16,2.967,19.5,5
76.78,2.884,21.3,13
76.43,2.887,22.9,13
73.81,3.029,17.5,3
74.96,2.834,20.4,5
71.91,2.96,20,5
73.67,2.968,22.9,14
72.65,1.028,20.5,13
72.9,2.968,22.9,14
74.86,2.925,18.1,5
74.58,3.057,20,3
72.48,2.942,21.2,5
73.92,3.022,23.6,13
76.6,2.894,20.6,5
74.64,3.026,20,3
68.84,2.192,19,5
73.63,2.201,20,3
71.84,3.091,19,3
72.33,2.996,20.5,13
75.77,2.974,23.8,13
72.72,2.102,20,3
72.68,2.339,21.2,3
72.23,2.877,20.6,10
75.55,3.574,21.4,5
73.45,3.009,23.2,13
74.26,2.24,22.7,13
72.48,2.87,20,5
73.59,2.072,23,13
73.39,2.243,20.2,3
77.94,2.114,22.1,13
70.73,3.06,20,14
72.27,3.542,21,11
70.2,3.012,19.9,5
71.07,2.156,20,13
75.69,2.954,20,14
73.07,3.01,22,13
76.46,2.96,20,5
74.01,2.075,20.6,3
72.54,2.987,20,3
74.58,2.186,20.5,5
77.34,2.954,22,13
74.3,2.926,25,5
73.59,2.964,25,5
75.91,2.907,24,5
75.59,3.538,18.2,5
77.09,3.578,20.2,5
78,2.921,20.2,13
73.31,2.86,19,5
74.29,2.97,20,5
70.3,2.117,19,3
74.65,2.207,21.5,13
74.99,2.766,22.3,13
74.72,2.958,27.2,5
75.06,2.728,20,5
77.93,2.924,27.2,5
67.33,2.081,20.3,3
75.52,2.892,20,5
72.09,2.024,21.5,13
70.3,2.066,20,14
76.36,2.885,23.6,13
76.92,3.007,23,5
75.38,2.973,21.3,13
76.74,3.544,20.3,5
76.75,3,22,5
75.13,3.546,21.3,5
72.71,2.396,20,3
73.98,2.888,20,12
77.24,2.06,20,13
75.7,2.036,21,6
72.36,2.117,22,3
74.51,2.072,23,13
75.77,2.06,24,13
76.78,2.096,23,13
72.97,2.051,22,6
76.32,2.927,23,5
75.55,2.974,22,11
72.59,3.014,24,13
74.89,3.003,22,11
75.49,2.942,22,13
75.42,2.069,23.9,13
73.21,3.026,23,5
73.28,3.003,24,11
72.65,2.911,23,14
77.51,2.957,25,5
74.09,2.949,24,13
67.04,2.985,24,10
73.46,2.308,24,11
73.39,2.036,24,13
73.46,2.976,24,5
76.26,2.916,24.5,5
73.07,2.977,19.8,13
74.44,3.372,25,11
70.41,2.892,24,5
73,2.97,25,5
76.85,2.976,25,5
75.28,2.036,25,13
72.86,2.95,25.5,13
76.89,2.927,25.5,5
72.9,2.114,25.3,3
78.95,2.902,25,5
77.51,2.834,24.5,5
79.43,2.99,22,5
78.53,2.874,24,5
76.11,2.986,25,3
77.06,2.96,24.5,13
78.42,2.93,24,5
79.92,2.138,25.6,5
78.11,2.982,25,13
76.11,2.886,25.6,3
77.41,2.048,25,5
74.61,2.093,24.3,13
78.7,2.156,18.9,13
77.27,0.836,18,5
78.14,0.986,24.3,13
79.51,0.07,19,5
78.74,0.3,18.3,3
79.51,3.313,19,3
78.42,0.787,18,5
77.51,0.748,18,5
78.11,0.223,19.6,13
79.4,0.141,19,6
