durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_red,color_red_brown,color_brown,color_black,color_dark_brown,brix_red,brix_dark_brown,brix_brown,brix_black,Temperature_Outside,Temperature_Frut,Variety
43,25,7,25,4.1,0,93.3,0,2.6,0,16.3,0,24.6,22,0,3
11,18,43,29,2.4,0,96.7,0,0.9,0,18.1,0,26.5,22.1,0,3
14,18,50,18,7.6,0,89.6,0,2.8,15.4,0,18.1,0,26,19.2,3
29,14,25,32,6.5,0,79.2,0,14.3,0,22,0,25.5,22.6,0,3
32,18,21,29,12,0,80.4,0,7.6,16.8,0,21.8,0,23,16.9,8
7,32,32,29,9.3,0,87.4,0,3.3,16.4,0,20.7,0,22,20.4,5
0,11,64,25,1.3,0,94.7,0,4,0,18.4,0,24,19.2,0,3
50,32,0,18,2.5,0,92.2,0,5.3,16,0,19.2,0,28,22.6,3
14,25,18,43,0,91.9,0,8.1,0,18.5,0,22.4,21,0.1,0,3
4,14,54,29,9.6,0,84,0,6.4,0,20.9,0,24.5,20.6,0.4,3
25,18,46,11,68.4,0,31.5,0,14.9,0,21.1,0,22,19.2,0,11
4,14,57,25,81.8,0,18.2,0,18.7,0,25.8,0,24,22,0,5
7,0,43,50,3.2,0,88.7,0,8.1,15.4,0,20.7,0,26,20.6,3
0,7,68,25,7.8,0,90.2,0,2,15.4,0,20.7,0,26,16,3
10,28,14,48,11.8,0,86,0,2.2,14.3,0,23.3,0,28,20.4,10
11,14,57,18,38,0,60.2,0,1.9,15.9,0,18.7,0,28.2,20.5,3
4,14,61,21,1,0,91.5,0,7.5,0,20.1,0,18,14.5,0.4,3
0,4,86,11,4.2,0,92.7,0,3.1,16.2,0,18,0,19.5,16.2,3
0,11,79,11,6.7,0,91.9,0,1.4,18.8,0,25.6,0,22,14.9,1
36,36,7,21,0,73,3.2,23.8,0,18.6,0,19,21.6,0,0,3
7,11,64,18,2.4,0,96.1,0,1.5,0,19.5,0,19,16.6,0,3
7,29,54,11,6.2,0,77.8,3.3,12.7,15.6,0,20.6,0,20.2,16.1,3
18,21,36,25,5,0,90.6,0,4.4,15.1,0,17.1,0,20.2,17.4,3
32,18,32,18,26.1,0,67.4,0.9,5.6,15.7,0,18.3,0,19.8,17.2,7
25,29,18,29,9.3,0,84.6,2.2,3.9,14.8,0,16.1,0,20,17.2,3
21,18,39,21,6.1,0,86.1,2.5,5.3,0,19.7,0,20,17.2,0,3
14,14,50,21,7.3,0,91.1,0,1.6,17.9,0,24.2,0,20,20.1,1
7,14,61,18,1.8,0,66.9,0.1,31.2,15.8,0,18.8,0,20,19.2,3
4,4,21,11,0,12.9,0,87.1,14.8,0,18.9,0,20,17.6,0.2,3
4,7,68,21,2.5,0,68.7,11.1,18,0,0,22,24,0.2,0,3
75,11,0,14,4.5,0,37.5,9,49,16.2,0,19.1,0,25,25,3
39,25,14,21,26.5,0,66.2,0,8.2,16.2,0,21.8,0,24,24.6,8
64,21,7,7,4.1,0,91.9,0,4,14.8,0,18.9,0,24,23.5,3
21,25,25,29,9.8,0,71.1,0,19.1,0,19.2,0,24,19.2,0,3
25,21,18,36,4.1,0,80.6,1.6,13.7,14.9,0,16.3,0,24,19.2,3
25,21,25,29,1.7,0,72.9,6.6,18.8,22.9,0,24.8,0,24,22.1,13
7,11,61,21,5.2,0,66.9,2.1,25.8,0,21,0,24.8,18.6,0.4,3
11,29,43,18,5.4,0,92.2,0,2.4,0,18,0,24,23.8,0,3
7,4,61,29,11,0,71.1,2.8,15.1,17,0,18,0,26,23.8,3
29,36,14,21,0,96,0,4,0,0,19.5,0,24,22,0,3
7,36,25,32,3.1,0,89.7,0,7.2,0,21,0,24,22,0.3,3
4,11,57,29,6.7,0,96,0,3.3,17.6,0,19.4,0,26,23.4,3
11,21,46,21,4.9,0,91.7,0,3.4,0,17.3,0,26,23,0,3
14,21,39,25,5.3,0,91.1,0,3.6,15.4,0,16.8,0,24,24.5,3
4,7,68,21,0,2.3,0,97.7,0,20,0,26,21.6,0.8,0,5
14,18,43,25,18.9,0,81.1,0,18.2,0,19.5,0,26,21,0,3
21,17,24,38,2.2,0,86.3,0,11.5,0,16.9,0,26,23.1,0,3
4,18,64,14,12.6,0,70.8,2.8,13.8,16.8,0,21.1,0,24,22.6,3
11,14,29,46,3.5,0,75.4,0,21.1,0,18.9,0,17.5,16.3,0,3
7,18,46,29,1,0,90.5,0,8.5,0,24.7,0,19.2,14.6,0,13
14,14,45,28,14.1,0,82.3,0,3.6,0,0,20.9,14,0.7,0,1
29,39,7,25,2.5,0,93.7,0,3.8,0,19.5,0,20.9,17,0,5
14,7,64,14,1.2,0,91.2,0.4,7.2,13.3,0,16.8,0,20.7,16.2,3
18,29,18,36,15.4,0,83.1,0,1.5,17.7,0,19,0,21,17.2,8
25,21,36,18,0,83.2,1.5,15.3,0,20.7,0,20.6,14.6,0.3,0,3
11,21,43,25,2,0,97.4,0.6,0,0,23.5,0,24.3,20.9,0.9,12
7,21,64,7,9.7,0,85.8,0,4.5,19.1,0,20.1,0,21.4,17.4,5
54,18,7,21,1.9,0,77.6,0,20.5,0,19.1,0,21.2,20.5,1.8,3
4,43,32,21,1.3,0,98.3,0,0,23.1,0,21,19.2,0.4,0,13
11,7,61,21,12.9,0,87.1,0,0,18.8,0,21,20.5,0,0,3
7,14,54,25,0,90.2,0,9.8,0,19.7,0,24.6,19.4,2,0,3
7,14,61,18,16.2,0,83.3,0,0.5,24.2,0,26,0,21,14,13
18,39,29,14,7.2,0,88.2,0,7.6,0,18.7,0,22,21.5,0,3
4,25,21,50,1.1,0,92.4,0,6.5,0,19,0,24.2,19.2,0,3
7,14,61,18,10.3,0,87.8,0,1.9,19.8,0,22,0,24,17.6,1
15,11,44,30,9.8,0,90.2,0,0,17.2,0,22,17.4,0,0,5
32,36,7,25,1.3,0,96.4,0,2.3,0,20.2,0,24,16,0.4,3
32,32,11,25,1.2,0,94.5,0,4.3,0,18.1,0,24.6,17.4,0.3,3
54,29,11,7,85.9,0,13.5,0,0.6,18.8,0,19.6,0,22.6,24.1,3
14,32,32,21,1.4,0,72,0.6,26,0,23.6,0,25,21,0.3,13
7,29,43,21,5,0,91,0,4,0,19.7,0,25,18.6,0,3
29,21,21,29,1.6,0,87.1,0,11.3,0,20,19.7,0,25,23,3
18,7,32,43,4.8,0,90,0.8,4.4,0,17,0,25,18.1,0,3
11,18,54,18,2.9,0,85.7,0,11.4,0,19.4,0,26,18.7,0,3
4,11,71,14,12.4,0,82.3,0,5.3,0,22.1,0,25,16.6,0.1,1
32,7,32,29,8.3,0,88.7,0,3,0,19.6,0,26,16,0.5,3
39,18,29,14,10.5,0,74.9,0,14.6,0,18.6,0,25,20,0.3,5
32,14,36,18,11.9,0,86.9,0,1.2,0,19.3,0,25,23,0.1,5
14,21,50,14,51.6,0,18.4,0,16.7,0,17.8,0,25,18.2,1.9,5
50,29,7,14,0.9,0,85.6,0,13.6,0,17.3,0,27.4,20.7,0.4,3
21,14,54,11,7.9,0,83.8,0,8.8,16,0,21.1,0,28,22,12
11,4,57,29,15.7,0,79.2,0,5.1,16,0,18.8,0,28,23,3
21,14,21,43,1.3,0,87.8,0,10.9,0,17.7,0,29,21.5,0,3
4,4,82,11,3.4,0,83,0,13.6,0,17.7,0,28,18,1.7,3
18,18,50,14,11.8,0,82.3,0,5.9,0,22.6,0,26,20,0.6,13
11,14,50,25,81.6,0,18.4,0,17,0,21.5,0,25,18.6,0,5
21,21,25,32,6.5,0,80.4,0,13.1,0,17,0,26,20,0,3
25,11,46,18,13.7,0,77.5,0.8,8,14.9,0,18.5,0,25,20.6,3
4,36,54,7,5.1,0,94.9,0,0,17.9,0,26,20,0,0,5
4,18,54,25,11.5,0,69.6,3.1,15.8,0,25,22.8,0,28,23,13
7,0,68,25,3.4,0,84.6,0,12,0,23.6,20,0,28,19.8,3
