durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_rojo,color_rojo_caoba,color_caoba,color_negro,color_caoba_oscuro,brix_rojo,brix_caoba_oscuro,brix_caoba,brix_negro,Temperatura_Ambiente,Temperatura_Pulpa,Variety
0,0,76,24,2,35,63,0,0,0,0,20,0,26.7,22,1
0,15,51,34,1,32,66,0,1,0,0,22.8,0,30.8,23,1
3.6,10.7,60.7,25,0.7,15.3,78.9,0,5.1,0,0,24.3,0,27.6,19.6,1
7.1,17.9,2.1,42.9,2.5,22.3,68.1,0,7.1,0,0,23.7,0,30,28,1
0,14.3,67.8,17.9,0,2.7,68.3,0,29,0,22.5,19.3,0,19.2,17.2,1
10.7,25,35.8,28.5,2.4,9.2,72.3,0,16.1,0,19.4,22.3,0,20,20,3
3,19,45,32,0,0,59,0,41,0,23.5,21,0,28.9,22.8,13
6,19,43,32,0,0,47,0,53,0,24.6,20.8,0,24.5,20,13
12,21,43,24,0,0,27,3,70,0,24.3,22.8,0,24.5,21,13
15,21,40,24,0,0,30,0,70,0,24.3,19.2,0,26.5,19,13
3,15,61,21,0,0,65,0,35,0,24.4,19.5,0,26.9,18,13
0,12,68,21,0,0,29,0,71,0,25.7,22.7,0,23.2,15.1,13
18,24,35,24,0,3,59,0,38,0,24.9,20.1,0,28.5,17,13
18,24,32,26,0,0,38,4,58,0,24.6,21.6,0,28,18.7,13
0,3,74,24,0,0,59,0,41,0,22.4,19.1,0,29.7,21.6,2
0,0,75,25,0,0,0,58,42,0,19.2,0,24.5,18.5,14,2
0,3,85,12,0,0,0,38,62,0,19.3,0,21.3,21.6,18.5,2
0,0,97,3,0,0,0,47,53,0,19.4,0,21.8,20,16.6,2
0,18,58,24,0,0,0,35,65,0,20.1,0,22.3,26.3,18.4,2
0,3,79,18,0,0,0,64,36,0,21.5,0,23,27.9,19,2
3,9,65,24,0,0,0,76,24,0,18.5,0,20.7,19.2,14.6,2
0,3,88,9,0,0,0,76,24,0,19.2,0,22.4,25.4,17.5,2
0,9,79,12,0,0,0,85,15,0,18.4,0,23.8,29.6,20.5,2
3,3,53,41,0,0,0,81,19,0,19.9,0,21.1,28.8,20,2
0,3,74,24,0,0,21,50,29,0,21.2,0,22.6,29.6,16.2,2
0,6,82,12,0,0,0,82,18,0,21.1,0,22.2,30.2,23.2,2
0,12,68,21,0,0,0,59,41,0,19.9,0,21.8,20.6,18.6,2
7,4,82,7,3,38,59,0,0,0,0,21.9,0,24.9,17.6,5
0,7.1,78.6,14.3,0,26,74,0,0,0,0,23,0,28.3,22.3,5
0,3.5,53.7,42.8,4.7,27,68.3,0,0,0,0,20.2,0,20.6,19.4,1
7.1,10.7,46.5,35.7,1.2,8.7,86.5,0,3.6,0,0,20.4,0,24,20.3,1
7.1,10.7,60.7,21.5,4.5,52.8,42.7,0,0,0,0,20.6,0,28.1,23.1,1
0,7.2,82.1,10.7,4.7,29.5,65.8,0,0,0,0,18.9,0,20.1,12.1,1
10.7,10.7,35.7,42.9,1.5,13.5,80.8,0,4.2,0,0,22.5,0,25.7,18,1
0,3.5,71.4,25.1,0,74.1,18.3,0,7.6,0,0,22.4,0,19.3,17,1
0,7.1,78.6,14.3,3.2,28.9,64.3,0,3.6,0,0,20.5,0,27.5,19.7,1
3.6,7.1,64.3,25,2.1,13.9,69.8,0,14.2,0,0,24.5,0,23,18.6,1
0,23.8,50.1,26.1,0,3.5,89.5,0,7,0,21.5,17.8,0,28,26,1
3.6,17.9,42.8,35.7,0,14.5,77.1,0,8.4,0,0,20.4,0,25,17,1
10.7,10.7,50,28.6,0,16.7,63.3,0,20,0,0,21,0,19.4,13,1
0,6,82,12,0,0,32,0,68,0,21.2,19.5,0,23.2,20.4,15
3,6,79,12,0,0,33,0,67,0,22.7,20.1,0,25,19,15
3,8,80,9,0,0,6,0,94,0,22.2,20.9,0,29.9,21.4,15
3,3,88,6,0,0,12,3,85,0,21.9,20.9,0,29.5,22.2,15
0,3,85,12,0,0,3,6,91,0,18.6,0,21.4,21,16,15
0,3,88,9,0,0,19,0,81,0,22.9,21.2,0,26.5,19,15
0,3,85,12,0,0,3,3,94,0,21.5,20,0,30.4,19.6,15
0,6,82,12,0,0,6,6,88,0,21.4,18.8,0,30,18.6,15
3,7,78,12,0,0,15,0,85,0,20.4,18.7,0,27.5,18,15
5,7,76,12,0,0,3,0,97,0,21.4,20.3,0,30.6,18.6,15
7,10,71,12,0,0,3,0,97,0,21,18.8,0,30.9,21.8,15
0,3,85,12,0,0,0,3,97,0,20.7,0,21.7,31.4,21.4,15
0,6,82,12,0,0,24,0,76,0,21.7,19.4,0,24.9,16.4,15
0,3,85,12,0,0,13,3,84,0,21.8,20.4,0,30,18.6,15
3,9,65,24,0,0,16,0,84,0,22,21.3,0,29.1,18.7,15
6,12,59,29,0,0,9,6,85,0,21.8,20,0,30,22.6,15
6,22,39,32,0,0,18,0,82,0,25.3,23.1,0,24.5,18,15
21,26,18,35,0,0,12,9,79,0,22.1,17.5,0,30,19,15
19,21,34,26,0,0,9,6,85,0,24.6,21.5,0,30,19,15
9,24,35,32,0,0,0,56,44,0,18.2,0,20.7,22.8,16.2,15
18,23,33,26,0,0,0,35,65,0,20.4,0,21.9,27.2,17.2,15
32,26,21,21,0,0,0,38,62,0,18.7,0,22.8,27.8,22,15
12,21,43,24,0,0,0,38,62,0,21.3,0,22.4,28.2,22.6,15
9,24,38,29,0,0,0,29,71,0,18.6,0,21.3,2.6,4.5,15
9,24,35,32,0,0,0,47,53,0,21.9,0,22.6,18.5,13.2,15
21,24,29,26,0,0,0,32,68,0,21.6,0,22.4,22.8,18.2,15
34,30,9,27,0,0,0,62,38,0,21.3,0,22.4,27.5,20.1,15
21,24,31,24,0,0,0,29,71,0,19.6,0,21.1,27.9,19.9,15
29,35,16,20,0,0,0,32,68,0,19.4,0,22,28.4,22.5,15
24,18,24,34,0,0,0,38,62,0,20.2,0,23.4,30.2,23,15
32,29,18,21,0,0,0,71,29,0,20.2,0,23.3,25.4,16.1,15
15,15,46,24,0,0,0,62,38,0,20.9,0,23.1,25.5,16.4,15
9,24,43,24,0,0,0,63,37,0,20.7,0,22.9,26.6,16.9,15
9,9,64,18,0,0,0,71,29,0,21.2,0,22.6,27.2,17.1,15
0,10.7,71.4,17.9,0,8.9,77.8,0,13.3,0,0,19.7,0,25,21.1,3
7.1,14.3,53.6,25,0,14.2,76.4,0,9.4,0,0,23.1,0,30,25,3
3.6,7.1,82.2,7.1,21.9,71.8,6.3,0,0,0,0,20.6,0,19.4,12,3
0,9.6,74.3,16.1,0,18.4,65.8,2.5,13.3,0,0,21,0,20,17,3
3.5,7.1,71.6,17.8,0.4,6.5,73.1,0,20,0,16.8,21.9,0,20,17.3,3
0,17.2,44.9,37.9,0,7.4,82.6,0,10,0,17.1,21,0,21,19.8,3
7.1,17.8,43,32.1,0,4.8,58.3,0,36.9,0,17.9,21.9,0,17.4,14.5,3
7.1,14.3,53.6,25,0,16.7,54.7,0,28.6,0,21.4,17.5,0,19,17,3
10.7,10.7,60.7,17.9,0,5.6,66,0,28.4,0,0,22.8,0,27,24.4,3
0,3,88,9,0,8.1,73.8,0,18.1,0,21.4,18,0,25.1,18.4,14
0,3,82,15,0,21,44,6,29,0,26.3,21.5,0,23.6,15,13
3,17,28,52,0,0,59,3,38,0,26.7,20.2,0,23,18.5,13
0,18,65,18,0,0,56,3,41,0,23.7,21.4,0,28.3,25,13
0,3,91,6,0,21,70,0,9,0,0,21.7,0,17.9,14.9,5
0,12,59,29,0,12,78,0,10,0,0,21.1,0,18,15.6,5
0,12,50,38,0,6,64,0,30,0,20.8,18.9,0,25.5,18,5
0,9,76,15,0,26,64,0,10,0,0,21.9,0,25.8,19.6,5
0,3,91,6,0,0,48,0,52,0,24.7,21.3,0,17.5,15,15
7.1,10.7,46.5,35.7,9,61,30,0,0,0,0,20,0,28,25,5
3.5,25,42.9,28.6,7.9,80.1,12,0,0,0,0,22,0,24,21,5
0,10.7,60.7,28.6,0,20.8,77.9,0,1.3,0,0,0,0,27,25,5
7.1,7.1,39.4,46.4,0,3.3,82.9,0,13.8,0,20,18.5,0,20.2,17.5,5
4,21,46,29,0,19.9,71.4,0,8.7,0,0,23.5,0,26,24,5
3,9,71,18,0,24,73,0,3,0,0,21,0,24,18,5
0,0,93,7,0,29,71,0,0,0,0,21.3,0,24,19,5
0,0,92.9,7.1,0,8.4,71.6,0,20,0,19.3,18.8,0,29.2,23.2,5
7.1,10.7,60.8,21.4,0,32,60,0,8,0,0,22.3,0,25.6,17.4,5
0,0,86,14,2.9,16.4,71.1,0,9.6,0,0,23,0,29.2,23,5
7,14,50,29,0,7.2,74.2,0,18.6,0,20.1,18.4,0,24.8,20.9,5
6,9,73,12,12,26,56,0,6,0,0,21.8,0,25.5,23,5
0,3,85,12,18,38,44,0,0,0,0,23.2,0,28,21,5
0,3,76,21,12,26,59,0,3,0,0,22.6,0,28.2,21,5
0,0,82,18,0,24,73,0,3,0,0,23.2,0,27,21,5
0,3,76,21,0,24,73,0,3,0,0,22.4,0,27,19.5,5
10.7,3.6,35.7,50,7.2,27,65.8,0,0,0,0,19.4,0,28,23,1
3.3,20,30,46.7,3.8,32.8,63.4,0,0,0,0,19.4,0,28,26,1
6.7,23.3,23.3,46.7,6.3,10.7,81,0,2,0,0,21.1,0,29,27.3,1
10.4,20.6,20.6,48.4,0,12.5,84.3,0,3.2,0,0,22.2,0,29,28,1
14.2,17.9,39.3,28.6,4.4,31.6,64,0,0,0,0,21.9,0,24.9,20.2,1
10.7,17.9,39.3,32.1,2.5,33.4,60.6,0,3.5,0,0,22.8,0,29,22,1
10.7,17.8,39.4,32.1,7.5,34.1,55,0,3.4,0,0,22.6,0,21,20.5,1
0,23.5,58.9,17.6,3,32,62,0,3,0,0,24.6,0,28,23,1
0,7,44,49,2,42,56,0,0,0,0,21.3,0,27,17.7,1
0,4,75,21,8,54,38,0,0,0,0,21.7,0,28,22.7,1
0,21,21,58,0,3,47,3,47,0,0,21.1,0,29.4,17,1
